Latitude,Longitude,Timestamp,Weather,Age,Type_of_Vehicle,Accident_Held
11.04,76.99,2010-10-31 20:23:30,Clear,25,Bus,Yes
11.13,76.91,2012-04-11 13:15:11,Foggy,62,Bus,No
11.09,76.97,1998-02-19 22:35:38,Foggy,37,Truck,No
11.0,77.14,2002-01-29 10:31:39,Clear,45,Truck,No
10.85,76.97,2018-05-06 20:14:14,Windy,36,Bus,Yes
10.95,77.01,2008-12-03 18:31:03,Windy,21,Bus,Yes
10.99,77.0,2012-11-22 07:47:07,Rainy,60,Auto-rickshaw,No
11.09,76.88,2021-01-25 23:23:00,Rainy,47,Bike,Yes
10.88,77.11,2016-07-15 00:18:58,Clear,64,Car,No
11.15,76.85,2024-08-05 05:28:13,Stormy,40,Bike,Yes
10.83,77.04,1992-04-20 11:25:41,Clear,40,Auto-rickshaw,No
11.08,77.08,2023-05-19 10:14:01,Clear,79,Bike,No
11.18,77.17,2009-10-03 13:39:08,Windy,31,Bike,Yes
11.15,76.91,1990-08-18 03:17:42,Stormy,57,Truck,No
10.89,76.9,2012-01-10 13:35:32,Rainy,75,Truck,Yes
10.85,77.07,1995-01-13 22:31:37,Clear,46,Bike,Yes
10.97,76.97,1999-05-09 02:40:35,Clear,40,Car,Yes
10.86,76.98,1996-10-19 21:25:39,Windy,54,Car,Yes
10.91,76.97,1996-01-22 13:17:36,Rainy,48,Car,No
11.14,76.94,1999-10-12 15:56:47,Windy,72,Car,No
11.09,76.81,2019-05-15 16:45:24,Windy,59,Truck,Yes
10.92,76.87,2006-04-05 13:56:45,Windy,79,Bike,No
10.86,76.87,2003-01-17 09:32:37,Windy,49,Car,No
11.02,77.16,2013-08-27 03:57:47,Stormy,60,Car,Yes
11.04,76.93,2014-11-27 06:51:47,Clear,71,Bus,No
10.86,77.14,2024-01-14 21:57:06,Windy,50,Bus,No
11.04,77.06,2023-07-01 08:37:09,Foggy,38,Bus,No
11.1,76.86,2001-05-31 17:21:20,Windy,72,Car,No
10.86,76.89,2010-11-20 11:40:39,Foggy,41,Bike,No
11.03,76.98,2018-10-23 11:11:45,Windy,33,Car,No
10.93,77.05,2006-01-08 22:17:58,Windy,22,Auto-rickshaw,Yes
11.0,76.92,2011-09-20 06:47:44,Rainy,62,Bike,No
11.04,76.96,1997-03-03 13:29:09,Rainy,51,Auto-rickshaw,No
11.09,76.99,2021-08-28 03:16:52,Clear,28,Bus,Yes
11.09,76.88,1999-10-12 00:56:32,Stormy,22,Auto-rickshaw,Yes
10.84,77.08,2011-04-07 01:42:42,Windy,68,Bus,No
10.92,76.84,2001-10-24 13:55:40,Clear,77,Bus,Yes
11.04,77.05,2007-08-26 01:54:16,Windy,18,Bike,No
10.99,76.88,1992-11-25 13:01:05,Windy,79,Auto-rickshaw,No
11.2,77.18,2010-12-26 06:15:02,Stormy,51,Auto-rickshaw,Yes
11.15,76.89,2006-08-12 07:07:10,Clear,32,Bus,Yes
10.85,77.17,2019-05-21 22:22:25,Stormy,39,Auto-rickshaw,Yes
10.87,77.01,1994-07-08 19:30:36,Clear,31,Car,No
10.81,76.87,2023-09-24 16:58:38,Foggy,22,Bus,No
10.95,77.06,2019-05-15 16:45:24,Windy,60,Truck,No
10.8,77.01,1993-07-29 00:41:37,Windy,23,Truck,Yes
10.94,77.12,2016-08-14 21:47:38,Windy,25,Auto-rickshaw,Yes
11.14,76.85,1996-10-19 21:25:39,Stormy,19,Truck,Yes
10.84,77.09,2005-05-12 03:24:49,Clear,31,Bus,No
10.98,77.06,2012-11-04 20:59:02,Rainy,35,Car,Yes
11.07,76.82,2024-10-15 23:16:18,Rainy,73,Truck,No
10.82,77.09,1992-03-10 08:35:30,Rainy,77,Auto-rickshaw,No
10.9,76.81,2008-06-27 07:50:15,Foggy,70,Bus,Yes
10.92,76.96,2012-02-07 14:05:00,Foggy,60,Auto-rickshaw,Yes
10.85,77.06,2014-06-14 22:08:45,Rainy,61,Bike,Yes
11.12,77.04,2003-01-17 09:32:37,Clear,49,Car,Yes
10.83,76.94,2000-08-06 05:51:57,Clear,54,Truck,No
10.81,76.94,2014-10-13 22:29:14,Rainy,78,Bus,No
11.17,76.94,2011-02-10 15:31:17,Foggy,33,Bike,Yes
10.93,76.9,2005-02-12 07:59:26,Windy,69,Bus,No
11.14,76.85,2021-02-12 03:14:05,Clear,54,Truck,No
11.03,77.06,1992-02-16 06:27:46,Rainy,66,Car,Yes
11.05,77.03,1998-07-29 20:54:52,Windy,59,Bike,Yes
11.15,77.16,2001-03-02 17:27:18,Foggy,35,Bus,No
11.06,76.85,2023-08-15 14:44:50,Stormy,37,Car,No
11.05,76.92,2004-09-12 06:10:10,Foggy,71,Truck,Yes
11.0,77.06,1999-05-14 07:30:01,Windy,41,Bus,Yes
11.19,76.99,2014-11-27 06:51:47,Clear,38,Car,No
10.91,77.05,1999-09-20 16:07:41,Windy,57,Bus,No
10.96,77.01,2006-09-02 05:45:01,Windy,64,Truck,No
11.01,76.86,2024-02-24 19:29:18,Rainy,29,Auto-rickshaw,Yes
10.82,77.1,2015-10-06 00:22:40,Windy,69,Auto-rickshaw,Yes
10.97,76.99,2001-06-16 16:37:53,Windy,51,Car,Yes
10.98,76.83,1999-08-13 22:50:59,Foggy,23,Bike,No
10.93,77.04,2011-09-13 23:22:37,Foggy,19,Bike,Yes
11.0,76.85,1999-06-06 22:35:18,Clear,43,Bus,No
11.13,77.01,2015-02-15 02:39:31,Stormy,30,Bus,No
11.16,77.03,2015-07-03 11:17:03,Windy,64,Truck,Yes
11.18,77.17,2006-05-24 05:25:34,Windy,43,Bus,Yes
11.1,77.15,2012-01-01 14:05:21,Clear,62,Bike,No
11.05,76.86,2019-01-28 17:28:02,Foggy,21,Truck,No
11.16,76.85,2018-07-07 11:43:15,Stormy,74,Bus,No
10.89,77.03,2008-08-31 00:57:18,Rainy,54,Auto-rickshaw,No
10.84,77.15,2023-09-24 16:58:38,Clear,79,Truck,No
11.14,76.85,2006-04-29 07:41:34,Rainy,68,Auto-rickshaw,Yes
10.98,77.08,2009-07-24 17:52:13,Windy,79,Bike,Yes
10.91,77.12,1995-09-12 22:51:24,Windy,39,Car,No
11.18,77.14,2019-05-21 22:22:25,Stormy,40,Bike,No
10.93,76.99,1992-03-28 19:31:26,Rainy,28,Auto-rickshaw,No
10.99,77.03,1996-10-10 21:17:20,Clear,44,Car,No
11.07,77.16,2007-11-08 11:51:35,Foggy,68,Bike,No
10.84,76.9,2014-01-07 23:46:26,Foggy,24,Auto-rickshaw,No
11.19,77.17,2001-01-10 14:50:57,Windy,57,Bike,Yes
11.14,77.18,1994-01-11 22:50:26,Windy,73,Truck,Yes
11.15,76.94,2002-11-28 23:05:36,Windy,28,Truck,Yes
10.95,76.92,2019-05-21 22:22:25,Stormy,77,Truck,Yes
10.89,77.01,2012-01-10 13:35:32,Stormy,79,Truck,Yes
11.16,77.04,2008-09-29 08:33:04,Foggy,19,Bike,No
10.82,77.12,2008-11-25 13:52:51,Stormy,79,Bike,No
11.08,76.81,2015-10-06 00:22:40,Foggy,36,Bus,Yes
10.86,76.86,2014-07-18 08:35:37,Rainy,74,Auto-rickshaw,No
11.19,77.16,2003-01-17 09:32:37,Clear,28,Truck,No
10.88,77.15,1992-11-25 13:01:05,Stormy,38,Bike,No
11.1,76.97,2001-01-03 10:49:04,Foggy,31,Car,Yes
10.94,76.96,2000-10-24 14:06:12,Foggy,40,Bike,Yes
10.94,77.15,2011-03-14 02:18:12,Clear,29,Bike,Yes
10.99,76.89,2004-08-22 08:00:44,Windy,73,Bike,No
10.91,77.14,2006-08-25 19:56:31,Foggy,53,Car,No
11.14,76.81,2012-11-04 20:59:02,Stormy,51,Auto-rickshaw,Yes
10.87,77.02,2005-03-30 11:28:56,Foggy,27,Truck,No
10.83,76.88,2004-08-22 08:00:44,Foggy,23,Bike,Yes
11.07,77.0,1995-01-12 23:11:09,Stormy,68,Bike,Yes
10.85,76.88,2006-09-29 20:17:37,Stormy,38,Truck,No
11.19,77.07,2009-09-21 00:04:51,Windy,70,Bike,No
11.09,76.84,2014-12-29 20:37:35,Stormy,73,Auto-rickshaw,No
11.08,77.13,1995-09-12 22:51:24,Windy,58,Bike,Yes
11.19,77.18,1992-03-28 19:31:26,Rainy,41,Truck,Yes
11.1,76.87,2008-09-29 08:33:04,Stormy,19,Bike,No
11.18,76.81,2015-09-09 16:59:42,Windy,74,Auto-rickshaw,No
11.03,76.9,1991-12-14 12:13:40,Windy,40,Car,Yes
10.98,77.19,2012-01-01 14:05:21,Windy,32,Bike,Yes
10.81,77.2,2006-06-09 05:41:46,Clear,45,Bike,No
10.92,76.81,2021-02-12 03:14:05,Clear,54,Bike,No
10.87,77.18,2005-07-09 04:23:28,Clear,20,Bus,No
10.86,77.15,2024-02-05 12:14:04,Foggy,60,Bike,Yes
10.93,76.81,1991-05-12 13:28:03,Foggy,20,Car,No
10.94,77.17,2019-01-28 17:28:02,Foggy,38,Bike,Yes
10.93,77.04,1991-05-19 12:19:20,Stormy,44,Bike,Yes
11.08,76.85,2011-04-13 01:19:12,Foggy,47,Bus,No
10.94,77.07,2007-05-16 05:31:11,Stormy,54,Bus,Yes
11.15,77.16,2000-02-01 16:28:02,Foggy,55,Auto-rickshaw,Yes
10.8,76.99,2004-09-12 06:10:10,Foggy,27,Bus,No
10.82,77.04,1997-10-05 00:56:02,Windy,73,Bike,Yes
10.81,76.82,2008-08-31 00:57:18,Clear,71,Truck,Yes
11.03,77.13,1990-02-18 20:28:46,Foggy,75,Bike,No
10.8,77.02,2001-01-03 10:49:04,Windy,55,Car,No
11.1,76.89,2023-07-18 11:56:34,Stormy,71,Bus,No
10.86,76.94,2003-03-15 07:27:52,Rainy,32,Auto-rickshaw,Yes
10.87,77.14,2004-05-14 14:33:44,Foggy,35,Car,Yes
11.13,76.85,2006-08-12 07:07:10,Rainy,32,Bike,Yes
10.92,76.99,2008-05-28 06:59:03,Foggy,73,Auto-rickshaw,No
10.91,76.84,2004-10-02 18:24:48,Stormy,40,Bus,No
11.1,77.18,2006-08-06 07:00:54,Windy,52,Car,Yes
10.89,77.07,2005-02-15 23:29:50,Windy,34,Bike,No
11.19,76.88,2023-06-28 08:57:14,Stormy,42,Auto-rickshaw,No
11.1,77.08,2002-01-29 10:31:39,Stormy,42,Bike,Yes
10.89,77.0,2014-05-15 00:10:35,Stormy,64,Car,No
11.08,76.83,1994-03-04 09:14:53,Clear,43,Bus,Yes
10.94,77.05,2007-08-26 21:55:37,Windy,60,Auto-rickshaw,No
11.07,76.81,2013-08-26 03:15:31,Windy,20,Bus,No
10.94,77.04,2018-03-06 15:38:57,Windy,68,Car,Yes
10.94,77.04,2012-03-31 19:55:17,Foggy,22,Car,Yes
10.84,77.04,1992-01-29 10:06:20,Stormy,51,Car,Yes
10.96,77.13,2021-02-06 17:45:05,Clear,45,Car,No
11.13,76.8,2010-04-24 12:59:58,Clear,19,Bike,Yes
11.18,77.11,2021-02-08 04:41:22,Clear,26,Car,Yes
11.15,76.94,2010-12-26 06:15:02,Foggy,23,Auto-rickshaw,No
11.15,77.1,2013-01-03 09:14:59,Stormy,72,Truck,No
10.96,76.86,2009-08-12 02:12:07,Windy,57,Bus,Yes
11.09,77.09,2004-03-23 09:08:09,Foggy,32,Truck,No
11.0,77.16,2011-11-21 04:39:27,Stormy,63,Truck,No
11.01,77.07,2011-02-26 03:20:48,Clear,48,Auto-rickshaw,Yes
11.05,77.03,2007-10-04 08:53:45,Stormy,41,Car,No
11.0,76.97,2003-04-07 19:46:56,Foggy,34,Truck,Yes
10.98,77.12,2017-12-01 16:47:03,Windy,70,Bike,No
11.05,76.88,1995-08-22 08:48:34,Clear,35,Truck,No
10.9,77.03,1999-09-20 16:07:41,Windy,53,Car,Yes
10.94,76.82,2020-05-31 11:40:57,Foggy,31,Bike,No
11.18,76.91,2013-11-18 01:28:43,Clear,44,Bus,No
11.17,76.85,2015-10-06 00:22:40,Windy,74,Truck,No
11.08,77.08,1999-10-12 00:56:32,Rainy,31,Truck,Yes
10.9,77.15,1998-09-23 03:42:45,Rainy,54,Bike,No
11.18,76.84,2021-07-09 01:03:20,Stormy,50,Auto-rickshaw,No
11.05,77.05,2008-12-02 20:21:14,Stormy,21,Auto-rickshaw,No
11.14,76.84,2000-04-16 15:50:04,Clear,59,Bike,Yes
11.06,77.2,2023-07-18 11:56:34,Windy,23,Truck,Yes
11.15,76.86,2000-08-07 22:31:26,Rainy,28,Bike,No
10.83,77.02,2007-10-19 14:29:48,Rainy,65,Car,No
10.92,77.06,2012-12-01 13:10:32,Foggy,21,Bus,No
11.02,77.06,2013-01-03 09:14:59,Clear,51,Car,No
10.91,77.02,2002-03-07 21:18:50,Windy,25,Bike,Yes
11.18,77.12,2003-07-10 18:43:15,Foggy,18,Truck,No
10.88,76.89,2015-10-10 00:08:24,Foggy,50,Truck,No
11.14,76.94,2003-04-28 01:43:09,Windy,24,Auto-rickshaw,No
10.84,77.19,1995-06-08 05:56:21,Clear,46,Car,No
10.87,76.88,2023-06-28 08:57:14,Rainy,68,Truck,Yes
11.13,77.06,1990-08-22 18:51:20,Rainy,50,Bus,Yes
10.94,76.9,1994-02-01 03:47:08,Clear,35,Bus,Yes
11.04,77.01,2001-07-26 12:03:59,Stormy,77,Bus,Yes
11.08,76.96,2002-01-26 09:42:16,Foggy,69,Truck,No
10.96,76.8,2001-10-13 19:37:38,Windy,30,Bike,Yes
10.92,76.85,2017-05-16 00:20:30,Rainy,67,Bus,No
10.93,77.16,2024-11-15 02:12:52,Rainy,64,Car,Yes
10.93,77.17,1998-01-28 15:09:36,Rainy,79,Truck,No
10.81,76.89,1997-08-22 07:39:07,Stormy,68,Bike,No
10.81,76.81,2021-12-29 23:56:51,Windy,20,Bike,Yes
11.12,76.89,2009-08-03 17:18:18,Clear,57,Auto-rickshaw,Yes
11.12,77.15,2013-08-26 03:15:31,Windy,56,Bus,No
11.08,76.9,2000-01-08 02:18:10,Foggy,61,Bike,No
10.94,76.87,2009-04-13 01:29:37,Windy,76,Truck,No
11.15,77.02,2011-04-06 05:39:31,Windy,73,Truck,Yes
10.85,77.14,2006-06-23 03:46:51,Rainy,56,Auto-rickshaw,No
10.91,76.94,2021-01-15 06:21:18,Clear,26,Car,No
11.14,76.93,2000-10-24 14:06:12,Stormy,69,Bike,Yes
10.82,77.01,2013-12-17 07:26:32,Rainy,77,Bike,Yes
10.89,77.01,2021-05-20 01:08:13,Windy,34,Bus,Yes
10.88,76.91,2022-11-12 07:11:30,Rainy,79,Auto-rickshaw,No
11.16,76.83,2008-09-02 22:47:13,Rainy,34,Car,No
10.84,76.8,2018-03-06 15:38:57,Windy,62,Bike,No
10.96,77.08,2001-09-25 04:36:56,Windy,31,Bike,No
11.03,77.06,1994-01-11 22:50:26,Stormy,79,Truck,No
11.08,77.09,1991-01-20 23:25:19,Stormy,60,Bike,Yes
11.19,77.14,1990-06-17 11:24:34,Rainy,78,Auto-rickshaw,No
11.1,76.91,1995-07-11 10:05:27,Stormy,57,Car,Yes
11.15,76.93,2019-01-28 17:28:02,Windy,53,Bike,Yes
11.14,77.09,2001-10-24 13:55:40,Foggy,29,Bike,No
10.86,76.88,1996-05-21 08:02:44,Stormy,38,Car,Yes
10.81,76.88,2005-07-09 04:23:28,Stormy,71,Car,Yes
11.09,76.99,2012-04-17 02:40:14,Foggy,61,Truck,No
10.88,76.81,2020-04-05 13:25:35,Stormy,35,Car,Yes
11.16,77.2,2013-06-15 22:52:02,Rainy,40,Bus,No
10.9,76.89,2015-02-15 02:39:31,Windy,44,Truck,No
11.12,76.9,1994-05-25 06:15:10,Windy,57,Truck,No
10.96,76.95,2009-05-03 07:43:18,Clear,77,Bus,No
11.06,76.87,2007-10-19 14:29:48,Windy,21,Car,No
10.94,76.93,2014-06-13 07:08:22,Rainy,35,Auto-rickshaw,No
11.16,76.97,2000-07-18 11:42:51,Clear,19,Auto-rickshaw,Yes
11.13,77.11,2013-02-01 09:10:59,Windy,58,Bus,Yes
10.96,77.03,2021-05-22 10:17:54,Clear,40,Auto-rickshaw,Yes
10.85,76.92,1992-07-12 00:06:18,Rainy,28,Auto-rickshaw,Yes
10.85,77.06,2008-09-29 08:33:04,Rainy,28,Auto-rickshaw,Yes
11.04,76.95,2015-06-25 02:01:50,Rainy,61,Auto-rickshaw,No
11.16,76.89,2000-01-19 22:25:00,Windy,42,Car,No
10.83,76.85,2021-03-28 05:37:17,Foggy,55,Auto-rickshaw,Yes
10.97,77.04,1992-02-16 06:27:46,Foggy,34,Truck,No
11.16,77.17,2013-01-03 09:14:59,Rainy,18,Truck,Yes
11.15,76.95,1995-05-24 14:29:57,Clear,47,Truck,No
11.09,77.2,2019-07-16 13:42:32,Foggy,41,Auto-rickshaw,Yes
10.9,76.88,2005-02-02 14:11:46,Foggy,19,Bike,No
10.88,76.91,1998-08-02 23:55:51,Stormy,39,Bike,Yes
11.19,77.18,1997-02-20 10:08:49,Clear,44,Car,No
11.18,76.92,1999-06-14 16:06:05,Foggy,73,Bus,No
10.83,76.98,1996-09-18 05:02:48,Rainy,67,Bus,No
10.94,77.11,1999-09-20 16:07:41,Clear,66,Bike,No
10.95,77.12,2009-11-04 19:41:05,Clear,64,Car,No
10.84,76.95,2019-07-16 13:42:32,Foggy,41,Truck,No
11.19,76.89,2024-05-03 14:32:10,Foggy,35,Bus,Yes
11.05,77.1,2001-10-29 20:57:21,Windy,34,Truck,No
11.09,76.89,2013-11-20 03:03:37,Foggy,61,Truck,Yes
10.81,77.17,2001-08-10 05:44:02,Windy,61,Car,Yes
10.86,76.89,1997-04-03 11:32:44,Stormy,23,Bike,Yes
10.89,77.03,2001-08-10 05:44:02,Windy,40,Bike,No
10.81,76.93,1991-02-15 23:48:02,Clear,71,Bus,Yes
11.18,76.98,1998-03-04 18:29:59,Stormy,73,Bike,No
10.92,76.94,2001-03-27 14:13:52,Stormy,69,Bike,Yes
10.84,77.16,2010-10-30 03:46:50,Clear,22,Truck,No
10.87,76.88,1999-10-12 00:56:32,Clear,57,Truck,No
10.86,77.01,2013-09-11 22:14:40,Foggy,41,Bike,No
10.88,76.96,2022-01-16 00:54:04,Stormy,32,Car,No
11.02,76.93,2019-06-18 13:40:39,Stormy,37,Auto-rickshaw,No
10.97,76.95,2009-01-06 07:14:11,Foggy,48,Car,No
11.15,77.06,1990-06-26 19:56:24,Windy,65,Car,No
11.1,76.93,2002-10-03 08:49:05,Stormy,23,Bike,No
10.85,77.02,1994-04-26 12:06:37,Stormy,37,Auto-rickshaw,Yes
10.84,76.97,2021-04-12 12:50:43,Stormy,68,Bus,No
11.14,77.08,2006-06-23 03:46:51,Windy,57,Bus,Yes
11.09,76.91,2024-07-15 21:40:43,Windy,47,Bus,Yes
10.85,76.88,2017-03-31 06:25:39,Clear,44,Car,No
10.98,77.07,2009-10-03 13:39:08,Clear,67,Auto-rickshaw,No
11.15,77.05,2012-11-04 20:59:02,Clear,60,Bike,Yes
11.17,77.15,2018-05-07 23:57:04,Windy,79,Bus,Yes
10.94,77.02,2001-10-24 13:55:40,Stormy,74,Bus,Yes
11.01,76.97,2014-06-13 07:08:22,Stormy,74,Bus,No
11.03,77.11,2002-09-01 12:35:47,Clear,59,Auto-rickshaw,No
11.16,77.08,2000-12-10 01:00:09,Foggy,62,Truck,Yes
10.88,76.92,2011-11-23 10:25:30,Stormy,33,Auto-rickshaw,No
11.18,77.11,1992-06-30 11:21:24,Clear,43,Bus,Yes
10.85,76.92,2019-05-21 22:22:25,Stormy,75,Bus,No
11.02,77.06,2006-06-09 05:41:46,Stormy,26,Car,No
11.05,77.01,2013-11-20 03:03:37,Foggy,62,Auto-rickshaw,Yes
11.01,76.86,1996-05-21 08:02:44,Clear,51,Car,No
11.14,76.95,2012-01-10 13:35:32,Windy,76,Car,No
11.0,76.96,2007-01-21 11:05:37,Foggy,22,Truck,Yes
11.07,77.08,1990-02-18 20:28:46,Foggy,28,Truck,Yes
11.17,76.83,2014-06-14 22:08:45,Windy,52,Car,Yes
11.15,76.85,2012-06-12 07:24:17,Rainy,75,Car,Yes
11.11,77.19,2014-10-13 22:29:14,Rainy,49,Truck,Yes
11.05,76.96,2008-12-22 07:37:19,Clear,50,Bus,Yes
11.06,76.93,2024-08-05 05:28:13,Foggy,69,Car,No
10.98,77.0,2011-02-10 15:31:17,Stormy,53,Bus,No
10.99,76.94,2015-09-09 16:59:42,Stormy,49,Car,Yes
10.83,76.87,1998-07-29 20:54:52,Foggy,76,Bike,Yes
11.0,77.15,2001-03-10 02:48:52,Windy,62,Bus,Yes
11.01,76.98,2002-09-01 12:35:47,Windy,60,Bike,Yes
11.05,77.2,2000-04-21 01:13:46,Clear,65,Bike,No
10.88,77.07,2002-03-18 21:55:12,Foggy,19,Bus,No
10.96,76.84,1993-07-29 00:41:37,Stormy,73,Bike,No
11.01,76.96,2015-01-21 04:45:26,Clear,47,Bike,Yes
10.81,76.89,1996-10-19 21:25:39,Foggy,55,Truck,No
10.99,77.02,2019-02-02 10:50:11,Clear,58,Auto-rickshaw,No
10.91,77.09,1993-07-29 00:41:37,Clear,34,Bike,Yes
11.14,77.15,1999-05-14 07:30:01,Rainy,74,Auto-rickshaw,No
11.03,77.1,2020-01-16 22:51:46,Foggy,26,Auto-rickshaw,No
11.08,77.02,2017-04-25 08:15:29,Rainy,48,Auto-rickshaw,No
11.09,77.15,2000-08-06 05:51:57,Foggy,26,Bike,No
11.11,77.11,2021-06-07 12:09:39,Rainy,71,Auto-rickshaw,No
10.91,76.82,1992-11-25 13:01:05,Rainy,25,Bus,No
10.93,76.86,2021-05-22 10:17:54,Foggy,51,Bus,No
11.19,77.14,2010-04-24 12:59:58,Rainy,73,Car,No
10.95,77.13,2010-11-06 04:56:17,Clear,69,Bike,No
10.81,77.16,1991-05-19 12:19:20,Clear,54,Car,Yes
10.84,76.88,2020-11-21 20:34:47,Clear,59,Car,No
10.85,77.05,1992-03-02 17:31:06,Windy,76,Bike,No
11.0,76.98,2016-07-02 04:53:12,Clear,41,Auto-rickshaw,No
11.03,76.88,2007-11-28 21:15:57,Foggy,23,Car,No
10.96,76.9,2023-06-28 08:57:14,Foggy,21,Bike,No
10.95,77.1,2005-07-09 04:23:28,Windy,31,Truck,Yes
10.92,76.82,2005-07-09 04:23:28,Foggy,53,Bike,No
11.02,76.97,1993-09-04 18:13:16,Windy,62,Truck,No
10.89,77.18,1996-10-12 07:17:04,Clear,74,Auto-rickshaw,Yes
11.2,77.04,1997-01-22 05:04:46,Stormy,50,Car,No
10.9,77.07,1991-02-15 23:48:02,Rainy,45,Auto-rickshaw,Yes
11.07,77.01,1999-05-14 07:30:01,Rainy,30,Bus,Yes
11.18,76.97,2015-02-15 02:39:31,Clear,41,Truck,Yes
10.89,77.13,2003-03-15 07:27:52,Clear,61,Truck,No
10.82,77.12,2005-02-15 23:29:50,Clear,47,Truck,No
11.11,77.16,2002-10-20 21:24:43,Windy,74,Truck,No
11.17,76.92,2021-02-17 00:42:12,Windy,43,Auto-rickshaw,No
10.93,77.17,2024-11-15 02:12:52,Windy,56,Bus,Yes
10.9,76.84,2000-06-28 13:28:00,Stormy,49,Car,Yes
11.14,76.89,2011-03-13 13:03:30,Clear,46,Bike,Yes
10.83,76.83,2015-07-19 18:11:53,Stormy,55,Bike,Yes
10.91,77.11,2000-12-31 14:06:55,Foggy,73,Bus,No
10.81,76.94,1997-11-17 19:38:39,Clear,73,Auto-rickshaw,Yes
10.87,77.12,2007-08-26 21:55:37,Foggy,23,Car,No
11.04,76.93,2011-03-13 13:03:30,Stormy,54,Auto-rickshaw,Yes
10.98,77.13,2011-09-08 01:32:43,Windy,67,Bike,Yes
11.02,76.85,1997-01-22 05:04:46,Rainy,42,Car,No
11.15,77.18,2007-01-21 11:05:37,Windy,66,Car,Yes
10.83,76.91,2009-05-03 07:43:18,Windy,25,Bike,No
10.82,76.87,2005-03-30 11:28:56,Rainy,28,Car,Yes
11.14,76.96,2019-01-28 17:28:02,Foggy,45,Bus,No
10.91,77.04,1995-01-12 23:11:09,Clear,74,Truck,Yes
10.94,76.8,1998-07-22 19:36:43,Clear,56,Car,No
10.97,76.91,2009-10-03 13:39:08,Rainy,54,Car,No
11.07,76.95,1994-04-03 22:36:47,Clear,49,Bike,No
10.99,76.87,2015-08-29 14:10:31,Foggy,68,Bike,Yes
11.12,76.89,2009-07-20 07:46:47,Windy,78,Auto-rickshaw,No
10.85,77.16,2017-05-16 00:20:30,Stormy,19,Bike,No
10.95,76.83,2020-01-16 22:51:46,Clear,76,Truck,Yes
11.03,76.88,2006-03-30 00:35:59,Rainy,65,Truck,Yes
11.09,76.84,2012-11-04 20:59:02,Rainy,75,Auto-rickshaw,No
11.16,77.17,2002-09-07 10:32:38,Windy,42,Bus,Yes
11.18,76.94,1995-09-12 22:51:24,Clear,59,Truck,Yes
11.06,77.12,2002-01-29 10:31:39,Clear,49,Auto-rickshaw,No
11.09,77.18,2007-02-04 18:50:17,Foggy,60,Bus,No
10.96,77.13,2022-10-26 02:42:55,Foggy,48,Bike,Yes
10.96,77.03,1997-11-17 19:38:39,Windy,68,Truck,No
10.8,76.96,2005-10-17 14:39:04,Clear,37,Truck,No
10.99,76.92,2014-02-28 01:10:25,Clear,65,Car,Yes
10.9,77.03,1995-10-29 12:23:19,Clear,22,Car,Yes
11.09,77.07,2000-04-21 01:13:46,Clear,53,Auto-rickshaw,Yes
11.06,76.92,2018-07-30 15:47:05,Windy,34,Truck,No
11.05,77.08,2008-06-27 07:50:15,Clear,57,Car,Yes
11.14,76.85,2009-08-12 02:12:07,Stormy,41,Bike,No
11.02,76.92,1992-05-21 13:47:55,Stormy,37,Bike,No
11.13,77.02,1995-09-12 22:51:24,Stormy,51,Truck,No
10.99,76.96,2009-07-24 17:52:13,Rainy,75,Bus,Yes
10.84,77.11,1994-03-04 09:14:53,Stormy,49,Car,No
10.88,76.96,2002-01-29 10:31:39,Windy,51,Auto-rickshaw,No
10.95,76.81,1996-10-19 21:25:39,Windy,41,Car,Yes
10.97,76.92,2024-10-15 23:16:18,Clear,19,Truck,Yes
10.9,77.1,2021-01-16 04:25:56,Rainy,78,Auto-rickshaw,No
11.19,77.03,1996-01-22 13:17:36,Windy,23,Bike,No
11.05,77.12,1992-03-28 19:31:26,Clear,60,Car,No
10.97,76.82,2015-07-28 09:49:16,Foggy,37,Truck,Yes
11.05,77.19,2020-06-08 08:20:40,Stormy,28,Bus,Yes
10.98,76.92,2019-10-31 18:06:45,Rainy,23,Truck,No
11.13,76.99,1992-01-14 16:15:23,Foggy,65,Auto-rickshaw,No
10.99,77.15,2020-02-13 13:12:27,Foggy,45,Auto-rickshaw,No
10.91,77.11,1997-07-22 22:26:19,Windy,29,Bus,No
11.04,76.9,2004-09-12 06:10:10,Windy,68,Car,Yes
11.1,76.86,2024-05-03 14:32:10,Clear,38,Car,No
10.8,76.88,1993-10-17 06:26:03,Stormy,36,Bus,Yes
10.91,76.96,2017-12-22 13:35:23,Rainy,64,Auto-rickshaw,No
11.18,77.05,1999-06-14 16:06:05,Rainy,29,Truck,Yes
10.89,76.92,1998-08-05 21:29:06,Rainy,22,Bike,Yes
11.09,76.92,2024-11-15 02:12:52,Stormy,37,Bus,No
10.89,76.8,2011-12-28 06:48:28,Foggy,45,Car,No
11.09,76.89,2007-10-19 14:29:48,Foggy,36,Bus,No
11.03,76.81,2001-09-25 04:36:56,Foggy,35,Truck,No
11.15,77.05,2000-01-19 22:25:00,Foggy,20,Bike,No
11.06,77.08,1992-07-15 17:40:01,Windy,22,Truck,Yes
10.92,76.98,2008-05-28 06:59:03,Stormy,22,Auto-rickshaw,No
10.87,77.1,2023-08-15 14:44:50,Windy,21,Truck,Yes
